URL,Original Price,Brand,Color,"City (LA, NYC)","Activity (Dining, PP)","Category (Dresses, Outerwear, Accesories)"
https://www.renttherunway.com/shop/designers/alc/kellam_dress,495,A.L.C.,Kellam Dress,,,
https://www.renttherunway.com/shop/designers/alexis/black_helene_dress,495,Alexis,Black Helene Dress,,,
https://www.renttherunway.com/shop/designers/alexis/green_lily_dress,847,Alexis,Green Lily Dress,,,
https://www.renttherunway.com/shop/designers/allison_parris/yellow_marilyn_dress,325,"allison parris
Yellow Marilyn Dress",,,,Dresses
https://www.renttherunway.com/shop/designers/amanda_uprichard/black_pavel_dress,255,Amanda Uprichard,Black Pavel Dress,,,
https://www.renttherunway.com/shop/designers/aqaq/plum_candice_dress,145,AQ/AQ,Plum Candice Dress,,,
https://www.renttherunway.com/shop/designers/bec__bridge/pink_florence_dress,250,Bec & Bridge,Pink Florence Dress,NY,Dining,
https://www.renttherunway.com/shop/designers/black_halo/brett_sheath,375,Black Halo,Brett Sheath,,,
https://www.renttherunway.com/shop/designers/black_halo/hepburn_sheath,345,Black Halo,Hepburn Sheath,,,
https://www.renttherunway.com/shop/designers/black_halo/leta_high_low_gown,690,"Black Halo
Add",Leta High Low Gown,,,
https://www.renttherunway.com/shop/designers/black_halo/witley_cb_sheath,345,Black Halo,Witley CB Sheath,,,
https://www.renttherunway.com/shop/designers/catherine_deane/blue_lace_miya_dress,590,CATHERINE DEANE,Blue Lace Miya Dress,,,Dresses
https://www.renttherunway.com/shop/designers/catherine_deane/lace_frida_dress,800,CATHERINE DEANE,Lace Frida Dress,,,Dresses
https://www.renttherunway.com/shop/designers/catherine_deane/rose_lace_frida_dress,875,CATHERINE DEANE,Rose Lace Frida Dress,,,Dresses
https://www.renttherunway.com/shop/designers/cinq_a_sept/makayla_dress,395,Cinq à Sept,Makayla Dress,,,
https://www.renttherunway.com/shop/designers/cinq_a_sept/navy_garnet_sheath,465,Cinq à Sept,Navy Garnet Sheath,,,
https://www.renttherunway.com/shop/designers/cinq_a_sept/white_josie_dress,385,Cinq à Sept,White Josie Dress,,,
https://www.renttherunway.com/shop/designers/cinq_a_sept/white_lyla_dress,385,Cinq à Sept,White Lyla Dress,Posey Sweetheart Dress,,Dresses
https://www.renttherunway.com/shop/designers/cushnie/ring_crossover_dress,1295,Cushnie,Ring Crossover Dress,,,
https://www.renttherunway.com/shop/designers/david_koma/side_split_midi_dress,1111,David Koma,Side Split Midi Dress,,,
https://www.renttherunway.com/shop/designers/draper_james/collection_gold_sequin_dress,325,Draper James,Collection Gold Sequin Dress,,,
https://www.renttherunway.com/shop/designers/draper_james/collection_tulip_lace_dress,250,"Draper James
Collection Tulip Lace Dress",,,,Dresses
https://www.renttherunway.com/shop/designers/dress_the_population/green_lace_aurora_dress,242,Dress The Population,Green Lace Aurora Dress,,,
https://www.renttherunway.com/shop/designers/dress_the_population/rose_petal_sabrina_dress,206,Dress The Population,Rose Petal Sabrina Dress,,,
https://www.renttherunway.com/shop/designers/dress_the_population/white_carlene_dress,295,Dress The Population,White Carlene Dress,,,
https://www.renttherunway.com/shop/designers/elizabeth_and_james/blue_jerard_dress,415,Elizabeth and James,Blue Jerard Dress,,,
https://www.renttherunway.com/shop/designers/elizabeth_and_james/blush_aiala_dress,365,Elizabeth and James,Blush Aiala Dress,,,
https://www.renttherunway.com/shop/designers/elizabeth_and_james/elliot_halter_dress,395,Elizabeth and James,Elliot Halter Dress,,,
https://www.renttherunway.com/shop/designers/elizabeth_and_james/perry_shift,595,Elizabeth and James,Perry Shift,,,
https://www.renttherunway.com/shop/designers/elliatt/black_popover_dress,208,ELLIATT,Black Popover Dress,,,
https://www.renttherunway.com/shop/designers/elliatt/metallic_haven_dress,160,ELLIATT,Metallic Haven Dress,,,
https://www.renttherunway.com/shop/designers/elliatt/petal_midi_dress,200,ELLIATT,Petal Midi Dress,,,
https://www.renttherunway.com/shop/designers/elliatt/porcelain_criss_cross_dress,195,"ELLIATT
Porcelain Criss Cross Dress",White base with lots of pattern,,,Dresses
https://www.renttherunway.com/shop/designers/elliatt/red_one_shoulder_popover_dress,208,ELLIATT,Red One Shoulder Popover Dress,,,
https://www.renttherunway.com/shop/designers/esteban_cortazar/rib_knit_peplum_dress,1804,Esteban Cortazar,Rib Knit Peplum Dress,,,
https://www.renttherunway.com/shop/designers/finders_keepers/blush_cutout_knit_sheath,184,FINDERS KEEPERS,Blush Cutout Knit Sheath,,,
https://www.renttherunway.com/shop/designers/finders_keepers/ivory_talisman_dress,175,FINDERS KEEPERS,Ivory Talisman Dress,,,Dresses
https://www.renttherunway.com/shop/designers/finders_keepers/red_goodbye_dress,165,FINDERS KEEPERS,Red Goodbye Dress,,,
https://www.renttherunway.com/shop/designers/fleur_du_mal/cascade_dress,565,Fleur du Mal,Cascade Dress,,,
https://www.renttherunway.com/shop/designers/free_people/all_i_need_dress,118,Free People,All I Need Dress,,,
https://www.renttherunway.com/shop/designers/halston_heritage/black_slit_cutout_dress,325,Halston Heritage,Black Slit Cutout Dress,,,
https://www.renttherunway.com/shop/designers/halston_heritage/white_cutout_dress,325,Halston Heritage,White Cutout Dress,,,
https://www.renttherunway.com/shop/designers/halston_heritage/white_flounce_hem_dress,345,Halston Heritage,White Flounce Hem Dress,,,
https://www.renttherunway.com/shop/designers/haney/sequin_valentina_sheath,795,HANEY,Sequin Valentina Sheath,,,
https://www.renttherunway.com/shop/designers/haute_hippie/black_tux_sheath,575,Haute Hippie,Black Tux Sheath,,,
https://www.renttherunway.com/shop/designers/herve_leger/black_vivien_cage_dress,1490,Hervé Léger,Black Vivien Cage Dress,,,
https://www.renttherunway.com/shop/designers/herve_leger/kaysen_dress,1490,Hervé Léger,Kaysen Dress,,,
https://www.renttherunway.com/shop/designers/herve_leger/nahla_dress,1290,Hervé Léger,Nahla Dress,,,
https://www.renttherunway.com/shop/designers/hutch/evergreen_melanie_dress,225,Hutch,Evergreen Melanie Dress,,,
https://www.renttherunway.com/shop/designers/hutch/tara_sheath,215,Hutch,Tara Sheath,,,Dresses
https://www.renttherunway.com/shop/designers/jay_godfrey/betty_shift,325,Jay Godfrey,Betty Shift,,,
https://www.renttherunway.com/shop/designers/jay_godfrey/black_mesh_hall_dress,299,Jay Godfrey,Black Mesh Hall Dress,,,
https://www.renttherunway.com/shop/designers/jay_godfrey/blue_harrington_midi,324,Jay Godfrey,Blue Harrington Midi,,,
https://www.renttherunway.com/shop/designers/jay_godfrey/red_gallagher_dress,325,Jay Godfrey,Red Gallagher Dress,,,
https://www.renttherunway.com/shop/designers/jay_godfrey/witherspoon_sheath,325,Jay Godfrey,Witherspoon Sheath,,,
https://www.renttherunway.com/shop/designers/jill_jill_stuart/midnight_cutout_sheath,368,Jill Jill Stuart,Midnight Cutout Sheath,,,
https://www.renttherunway.com/shop/designers/kate_spade_new_york/black_cold_shoulder_dress,298,kate spade new york,Black Cold Shoulder Dress,,,
https://www.renttherunway.com/shop/designers/kaufmanfranco/onyx_one_sleeve_dress,1195,KAUFMANFRANCO,Onyx One Sleeve Dress,,,
https://www.renttherunway.com/shop/designers/keepsake/red_mirrors_dress,195,Keepsake,Red Mirrors Dress,,,
https://www.renttherunway.com/shop/designers/la_petite_robe_di_chiara_boni/blue_yashiline_dress,695,La Petite Robe di Chiara Boni,Blue Yashiline Dress,,,
https://www.renttherunway.com/shop/designers/likely/black_packard_dress,198,LIKELY,Black Packard Dress,,,
https://www.renttherunway.com/shop/designers/likely/blue_dionne_dress,178,LIKELY,Blue Dionne Dress,,,
https://www.renttherunway.com/shop/designers/likely/brooklyn_dress,198,LIKELY,Brooklyn Dress,,,
https://www.renttherunway.com/shop/designers/likely/decklin_dress,198,LIKELY,Decklin Dress,,,
https://www.renttherunway.com/shop/designers/likely/red_brooklyn_dress,198,LIKELY,Red Brooklyn Dress,,,
https://www.renttherunway.com/shop/designers/likely/white_elana_dress,178,LIKELY,White Elana Dress,,,
